file,name,description,strings_count,guid_in_txt,guid_in_bin,path_strings_sample
asr_lua_0.bin,Aplha Test for ASR in Audit Mode,Generic ASR Audit mode use for unit testing,6,,,
asr_lua_1.bin,Aplha Test for ASR in Block Mode,Generic ASR Block mode use for unit testing,6,,,
asr_lua_10.bin,Block abuse of in-the-wild exploited vulnerable signed drivers,Windows Defender Exploit Guard detected an application writing an exploited vulnerable signed driver to the disk,10,,,
asr_lua_11.bin,Block persistence through WMI event subscription,Windows Defender Exploit Guard detected an attempted installation of a persistent entity in the WMI repo via event subscription,10,,,
asr_lua_12.bin,"Block executable files from running unless they meet a prevalence, age, or trusted list criteria",Windows Defender Exploit Guard detected the launch of a newly created untrusted executable file,10,,,
asr_lua_13.bin,Block JavaScript or VBScript from launching downloaded executable content,"Windows Defender Exploit Guard detected a script interpreter process running obfuscated JavaScript, VBScript, or macro code.",10,,,
asr_lua_14.bin,Block use of copied or impersonated system tools,Windows Defender Exploit Guard detected use of copied or impersonated system tool,14,,,
asr_lua_15.bin,Block execution of potentially obfuscated scripts,"Windows Defender Exploit Guard detected either obfuscated JavaScript, VBScript, or macro code.",12,,,"((windowsapps\\[^\\]+\\)|(microsoft office\\(root\\)?))office..\\[^\.]+\.exe\""?[^\""]+\""([^\""]+)\""?"
asr_lua_16.bin,Block Office applications from creating executable content,Windows Defender Exploit Guard detected the Office application creating executable content.,12,,,"((windowsapps\\[^\\]+\\)|(microsoft office\\(root\\)?))office..\\[^\.]+\.exe\""?[^\""]+\""([^\""]+)\""?"
asr_lua_17.bin,Block rebooting machine in Safe Mode,Windows Defender Exploit Guard detected system changes to reboot machine in Safe Mode,21,,,%systemroot%\system32\bcdedit.exe;%systemroot%\syswow64\bcdedit.exe;%systemroot%\system32\bootcfg.exe;%systemroot%\syswow64\bootcfg.exe
asr_lua_18.bin,Use advanced protection against ransomware,Windows Defender Exploit Guard detected execution of file that exhibit characteristics similar to ransomware,25,,,%systemroot%\system32\vssadmin.exe;%systemroot%\system32\wbem\wmic.exe;%systemroot%\syswow64\wbem\wmic.exe;%systemroot%\syswow64\vssadmin.exe;%systemroot%\system32\windowspowershell\*\powershell.exe;%systemroot%\syswow64\windowspowershell\*\powershell.exe
asr_lua_19.bin,Block Process Creations originating from PSExec & WMI commands,Windows Defender Exploit Guard detected remoting application (wmiprvse and psexesvc) creating child process,62,3216b490-71ee-4a94-b228-13b1c1582e3b,3216b490-71ee-4a94-b228-13b1c1582e3b,%windir%\system32\wbem\WmiPrvSE.exe;%windir%\PSEXESVC.exe;%windir%\system32\wbem\WmiPrvSE.exe;%windir%\system32\wbem\mofcomp.exe;%windir%\system32\svchost.exe;%windir%\system32\WerFault.exe;%windir%\system32\wuauclt.exe;%windir%\system32\gpupdate.exe;%windir%\SysWOW64\wbem\WmiPrvSE.exe;%windir%\SysWOW64\wbem\mofcomp.exe;%windir%\SysWOW64\svchost.exe;%windir%\SysWOW64\WerFault.exe;%windir%\SysWOW64\wuauclt.exe;%windir%\SysWOW64\gpupdate.exe;%windir%\system32\spool\drivers;%windir%\system32\fsiso.exe;%windir%\PSEXESVC.exe;%windir%\Temp\*\DismHost.exe;%windir%\system32\Dism\DismHost.exe;%systemdrive%\MDE\Tools\MDEClientAnalyzer.exe
asr_lua_2.bin,WIAD org test rule,This is a Test HIPS Rule that exposes rule logic in audit mode to entire WIAD org,6,,,
asr_lua_20.bin,Block Office applications from injecting code into other processes,Windows Defender Exploit Guard detected Office application injecting code into the process.,126,,,%programfiles%\Microsoft Office\root\Office16\WINWORD.EXE;%programfiles%\Microsoft Office\root\Office16\EXCEL.EXE;%programfiles%\Microsoft Office\root\Office16\POWERPNT.EXE;%programfiles%\Microsoft Office\root\Office16\ONENOTE.EXE;%programfiles%\Microsoft Office\root\Office15\WINWORD.EXE;%programfiles%\Microsoft Office\root\Office15\EXCEL.EXE;%programfiles%\Microsoft Office\root\Office15\POWERPNT.EXE;%programfiles%\Microsoft Office\root\Office15\ONENOTE.EXE;%programfiles%\Microsoft Office\root\Office14\WINWORD.EXE;%programfiles%\Microsoft Office\root\Office14\EXCEL.EXE;%programfiles%\Microsoft Office\root\Office14\POWERPNT.EXE;%programfiles%\Microsoft Office\root\Office14\ONENOTE.EXE;%programfiles%\Microsoft Office\Office16\WINWORD.EXE;%programfiles%\Microsoft Office\Office16\EXCEL.EXE;%programfiles%\Microsoft Office\Office16\POWERPNT.EXE;%programfiles%\Microsoft Office\Office16\ONENOTE.EXE;%programfiles%\Microsoft Office\Office15\WINWORD.EXE;%programfiles%\Microsoft Office\Office15\EXCEL.EXE;%programfiles%\Microsoft Office\Office15\POWERPNT.EXE;%programfiles%\Microsoft Office\Office15\ONENOTE.EXE
asr_lua_21.bin,Block credential stealing from the Windows local security authority subsystem (lsass.exe),Windows Defender Exploit Guard detected an attempt to extract credentials from LSASS.,241,,,%windir%\system32\lsass.exe;%windir%\system32\WerFaultSecure.exe;%windir%\system32\mrt.exe;%windir%\system32\NETSTAT.EXE;%windir%\syswow64\NETSTAT.EXE;%windir%\system32\wbem\WmiPrvSE.exe;%windir%\SysWOW64\wbem\WmiPrvSE.exe;%windir%\system32\DriverStore\FileRepository\*\NVWMI\nvWmi64.exe;%programdata%\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\*\OpenHandleCollector.exe;%programfiles%\WindowsApps\Microsoft.GamingServices_*\gamingservices.exe;%programfiles%\Avecto\Privilege Guard Client\DefendpointService.exe;%programfiles%\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe;%programfiles%\Microsoft Monitoring Agent\Agent\HealthService.exe;%programfiles%\Microsoft Monitoring Agent\Agent\MOMPerfSnapshotHelper.exe;%programfiles%\Nexthink\Collector\Collector\nxtsvc.exe;%programfiles%\Splunk\bin\splunkd.exe;%programfiles%\Azure Advanced Threat Protection Sensor\*\Microsoft.Tri.Sensor.Updater.exe;%programfiles%\common files\microsoft shared\ClickToRun\Updates\*\OfficeClickToRun.exe;%programfiles%\Zscaler\ZSAUpm\ZSAUpm.exe;%programfiles%\Fortinet\FortiClient\FortiESNAC.exe
asr_lua_22.bin,Block Adobe Reader from creating child processes,Windows Defender Exploit Guard detected Adobe Reader launching child process,338,,,%programfiles%\adobe\acrobat reader 2015\reader\acrord32.exe;%programfiles%\adobe\acrobat reader 2017\reader\acrord32.exe;%programfiles%\adobe\acrobat reader 2018\reader\acrord32.exe;%programfiles%\adobe\acrobat reader dc\reader\acrord32.exe;%programfiles%\adobe\reader 10.0\reader\acrord32.exe;%programfiles%\adobe\reader 11.0\reader\acrord32.exe;%programfiles%\adobe\reader 8.0\reader\acrord32.exe;%programfiles%\adobe\reader 9.0\reader\acrord32.exe;%programfiles%\adobe\reader\11.0\reader\acrord32.exe;%programfiles%\adobe\reader\acrord32.exe;%programfiles%\adobe\reader\reader\acrord32.exe;%programfiles%\adobe\acrobat 10.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 11.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 2015\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 2017\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 5.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 6.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 7.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 8.0\acrobat\acrobat.exe;%programfiles%\adobe\acrobat 9.0\acrobat\acrobat.exe
asr_lua_23.bin,Block all Office applications from creating child processes,Windows Defender Exploit Guard detected Office application creating the child process,710,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;ba11743e-6a8f-4599-93fb-2425110e2a75;fe87d1eb-b138-42e6-bae7-9e4a186319d5,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;ba11743e-6a8f-4599-93fb-2425110e2a75;fe87d1eb-b138-42e6-bae7-9e4a186319d5,%programfiles%\Microsoft Office\Office??\EXCEL.EXE;%programfiles%\Microsoft Office\Office??\MSACCESS.EXE;%programfiles%\Microsoft Office\Office??\ONENOTE.EXE;%programfiles%\Microsoft Office\Office??\POWERPNT.EXE;%programfiles%\Microsoft Office\Office??\WINWORD.EXE;%programfiles%\Microsoft Office\root\Office??\EXCEL.EXE;%programfiles%\Microsoft Office\root\Office??\MSACCESS.EXE;%programfiles%\Microsoft Office\root\Office??\ONENOTE.EXE;%programfiles%\Microsoft Office\root\Office??\POWERPNT.EXE;%programfiles%\Microsoft Office\root\Office??\WINWORD.EXE;%programfiles%\WindowsApps\*\Office??\EXCEL.EXE;%programfiles%\WindowsApps\*\Office??\MSACCESS.EXE;%programfiles%\WindowsApps\*\Office??\ONENOTE.EXE;%programfiles%\WindowsApps\*\Office??\POWERPNT.EXE;%programfiles%\WindowsApps\*\Office??\WINWORD.EXE;%programfiles%\Microsoft Office\root\VFS\ProgramFilesCommonX86\Microsoft Shared\EQUATION\eqnedt32.exe;%programfiles%\Common Files\Microsoft Shared\EQUATION\EQNEDT32.EXE;%programfiles%\28Hands;%programfiles%\7-Zip;%programfiles%\ACD Systems
asr_lua_24.bin,Block Office communication application from creating child processes,Windows Defender Exploit Guard detected Outlook application creating the child process,755,d7c7c745-195f-4223-9c7a-99fb420fd000,d7c7c745-195f-4223-9c7a-99fb420fd000,%programfiles%\Microsoft Office\Office??\OUTLOOK.EXE;%programfiles%\Microsoft Office\root\Office??\OUTLOOK.EXE;%programfiles%\WindowsApps\*\Office??\OUTLOOK.EXE;%programfiles%\WindowsApps\Microsoft.OutlookForWindows_*\olk.exe;%userprofile%\appdata\local\outlook\olk.exe;%userprofile%\appdata\local\outlook\app-*\olk.exe;%programfiles%\28Hands;%programfiles%\7-Zip;%programfiles%\ACD Systems;%programfiles%\Acrobat;%programfiles%\Add-On Products;%programfiles%\Adobe;%programfiles%\Autodesk;%programfiles%\bluebeam software;%programfiles%\CA\CA DataMinder;%programfiles%\Citrix;%programfiles%\Common Files\Adobe;%programfiles%\Common Files\Cerenade Shared;%programfiles%\Common Files\IBM;%programfiles%\Common Files\Microsoft Shared
asr_lua_3.bin,MSFT org test rule,This is a Test HIPS Rule that exposes rule logic in audit mode to \'X\' population within MSFT org,6,,,
asr_lua_4.bin,Block execution of files related to Remote Monitoring & Management tools,Windows Defender Exploit Guard detected execution of a file related to an RMM tool,18,d7c7c745-195f-4223-9c7a-99fb420fd000,d7c7c745-195f-4223-9c7a-99fb420fd000,
asr_lua_5.bin,Controlled folder access,Windows Defender Exploit Guard detected the unauthorized modification of files in protected folder,196,,,%windir%\SysWOW64\WerFault.exe;%windir%\system32\WerFault.exe;%windir%\system32\bcdedit.exe;%windir%\system32\MBR2GPT.EXE;%windir%\system32\CompatTelRunner.exe;%windir%\system32\ReAgentc.exe;%windir%\SysWOW64\wbem\WmiPrvSE.exe;%windir%\system32\wbem\WmiPrvSE.exe;%windir%\system32\chkdsk.exe;%windir%\system32\omadmclient.exe;%windir%\system32\SearchIndexer.exe;%windir%\system32\taskhostw.exe;%windir%\MpTaskBarRecover.exe;%windir%\MpRecoverTaskbar.exe;%windir%\system32\services.exe;%localappdata%\microsoft\Teams\Update.exe;%systemdrive%\$WINDOWS.~BT\Sources\SetupHost.exe;%systemdrive%\$WINDOWS.~BT\Work\*\DismHost.exe;%temp%\*\DismHost.exe;%windir%\system32\poqexec.exe
asr_lua_6.bin,Block Win32 API calls from Office macro,Windows Defender Exploit Guard detected use of Win32 APIs from Macro code in Office files,14,,,"((windowsapps\\[^\\]+\\)|(microsoft office\\(root\\)?))office..\\[^\.]+\.exe\""?[^\""]+\""([^\""]+)\""?"
asr_lua_7.bin,Block Webshell creation for Servers,Windows Defender Exploit Guard detected Webshell creation,6,,,
asr_lua_8.bin,Block Launching of executable content from email attachment,Windows Defender Exploit Guard detected launching of executable content from the email attachment,10,,,
asr_lua_9.bin,Block untrusted and unsigned processes that run from USB,Windows Defender Exploit Guard detected launching of an untrusted or unsigned executable from a removable USB media.,10,,,
