indicator_basename,example_string,matched_files,count_files
"""?","((windowsapps\\[^\\]+\\)|(microsoft office\\(root\\)?))office..\\[^\.]+\.exe\""?[^\""]+\""([^\""]+)\""?",asr_lua_15.bin;asr_lua_16.bin;asr_lua_18.bin;asr_lua_19.bin;asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin;asr_lua_6.bin,9
fsiso.exe,%windir%\system32\fsiso.exe,asr_lua_19.bin;asr_lua_20.bin;asr_lua_21.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,9
werfault.exe,%windir%\system32\WerFault.exe,asr_lua_19.bin;asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin,9
chrome.exe,%programfiles%\Google\Chrome\Application\chrome.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7
drivers,%windir%\system32\spool\drivers,asr_lua_19.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin,7
msedge.exe,%programfiles(x86)%\Microsoft\Edge\Application\msedge.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7
msedgewebview2.exe,%programfiles(x86)%\Microsoft\EdgeWebView\Application\*\msedgewebview2.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7
splwow64.exe,%windir%\splwow64.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7
app-v,%programdata%\App-V,asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6
dwwin.exe,%windir%\system32\DWWIN.EXE,asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6
