indicator_basename,example_string,matched_files,count_files,rule_names,guids,has_rmm_guid
"""?","((windowsapps\\[^\\]+\\)|(microsoft office\\(root\\)?))office..\\[^\.]+\.exe\""?[^\""]+\""([^\""]+)\""?",asr_lua_15.bin;asr_lua_16.bin;asr_lua_18.bin;asr_lua_19.bin;asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin;asr_lua_6.bin,9,Block Adobe Reader from creating child processes;Block Office applications from creating executable content;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block Process Creations originating from PSExec & WMI commands;Block Win32 API calls from Office macro;Block all Office applications from creating child processes;Block execution of potentially obfuscated scripts;Use advanced protection against ransomware,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3216b490-71ee-4a94-b228-13b1c1582e3b;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
fsiso.exe,%windir%\system32\fsiso.exe,asr_lua_19.bin;asr_lua_20.bin;asr_lua_21.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,9,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block Process Creations originating from PSExec & WMI commands;Block all Office applications from creating child processes;Block credential stealing from the Windows local security authority subsystem (lsass.exe),23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3216b490-71ee-4a94-b228-13b1c1582e3b;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
werfault.exe,%windir%\system32\WerFault.exe,asr_lua_19.bin;asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin,9,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block Process Creations originating from PSExec & WMI commands;Block all Office applications from creating child processes;Controlled folder access,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3216b490-71ee-4a94-b228-13b1c1582e3b;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
chrome.exe,%programfiles%\Google\Chrome\Application\chrome.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
drivers,%windir%\system32\spool\drivers,asr_lua_19.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin,7,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block Process Creations originating from PSExec & WMI commands;Block all Office applications from creating child processes;Controlled folder access,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3216b490-71ee-4a94-b228-13b1c1582e3b;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
msedge.exe,%programfiles(x86)%\Microsoft\Edge\Application\msedge.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
msedgewebview2.exe,%programfiles(x86)%\Microsoft\EdgeWebView\Application\*\msedgewebview2.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
splwow64.exe,%windir%\splwow64.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,7,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
app-v,%programdata%\App-V,asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
dwwin.exe,%windir%\system32\DWWIN.EXE,asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
