rmm_name,indicators,matched_files,match_count,guids
RemoteView,remoteview.exe;rv.exe;rvagent.exe;rvagtray.exe,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4,
ImmyBot,C:\Program Files\ImmyBot\ImmyAgent.exe;C:\Program Files\ImmyBot\ImmyUpdater.exe;C:\Program Files (x86)\ImmyBot\ImmyAgent.exe;C:\Program Files (x86)\ImmyBot\ImmyUpdater.exe;*\ImmyBot\*;C:\Windows\Temp\ImmyBot\*;ImmyAgent.exe;ImmyUpdater.exe;ImmyBot.Agent.Ephemeral.exe;ImmyBot.msi,,0,
NinjaRMM,NinjaRMMAgent.exe;NinjaRMMAgentPatcher.exe;ninjarmm-cli.exe,,0,
tmate,/usr/bin/tmate;/usr/local/bin/tmate;tmate;tmate.sock;tmate-ready;tmate.bashrc,,0,
KHelpDesk,KHelpDesk.exe,,0,
MioNet (Also known as WD Anywhere Access),mionet.exe;mionetmanager.exe,,0,
Pcnow,mwcliun.exe;pcnmgr.exe;webexpcnow.exe,,0,
CrossTec Remote Control,PCIVIDEO.EXE;supporttool.exe,,0,
Remote Manipulator System,rfusclient.exe;rutserv.exe,,0,
Laplink Gold,tsircusr.exe;laplink.exe,,0,
FastViewer,fastclient.exe;fastmaster.exe;FastViewer.exe,,0,
Ammyy Admin,C:\\ProgramData\\AMMYY\\*;AMMYY_Admin.exe;aa_v*.exe;C:\Users\*\Downloads\AMMYY_Admin.exe;*\AMMYY_Admin.exe,,0,
eHorus,C:\Program Files\ehorus_agent\*;ehorus standalone.exe;ehorus_agent.exe;ehorus_cmd.exe;ehorus_launcher.exe;ehorus_uit.exe,,0,
BeamYourScreen,beamyourscreen.exe;beamyourscreen-host.exe,,0,
PuTTY,*\putty.exe,,0,
LANDesk,issuser.exe;landeskagentbootstrap.exe;LANDeskPortalManager.exe;ldinv32.exe;ldsensors.exe;C:\Program Files (x86)\LANDesk\*;*\LANDesk\*;*\issuser.exe;*\softmon.exe;*\tmcsvc.exe,,0,
HelpWire,helpwire.exe;HelpWire Quick.exe;HelpWire.lnk;HelpWire Unattended Access.lnk;/Applications/HelpWire Operator.app;helpwire-operator/bin/helpwire-operator;/lib/systemd/system/helpwire-unattended.service,,0,
ScreenConnect,C:\Program Files (x86)\ScreenConnect Client (Random)\ScreenConnect.ClientService.exe;Remote Workforce Client.exe;*\*\ScreenConnect.ClientService.exe;C:\Program Files (x86)\ScreenConnect Client (<string ID>)\*;*\ScreenConnect Client*\*;*\*\ScreenConnect.WindowsClient.exe;screenconnect*.exe;screenconnect.windowsclient.exe;ConnectWiseControl*.exe;connectwise*.exe;screenconnect.clientservice.exe,,0,
Pilixo,rdp.exe;Pilixo_Installer*.exe,,0,
IntelliAdmin Remote Control,iadmin.exe;intelliadmin.exe;agent32.exe;agent64.exe;agent_setup_5.exe,,0,
Ivanti Remote Control,IvantiRemoteControl.exe;ArcUI.exe;AgentlessRC.exe,,0,
SuperOps,superopsticket.exe;superops.exe,,0,
Remote Utilities,rutview.exe;rutserv.exe,,0,
LogMeIn rescue,support-logmeinrescue*.exe;support-logmeinrescue.exe;lmi_rescue.exe;C:\Users\*\AppData\Local\LogMeIn Rescue Applet\LMIR*.tmp\lmi_rescue.exe;C:\Users\*\AppData\Local\LogMeIn Rescue Applet\LMIR*.tmp\lmi_rescue_srv.exe,,0,
NetBird,C:\Program Files\Netbird\netbird.exe;C:\Program Files\Netbird\netbird-ui.exe;C:\ProgramData\Netbird\*;/usr/bin/netbird;/usr/local/bin/netbird;/opt/netbird/*;/Applications/NetBird UI.app;/etc/netbird/install.conf;C:\bin\netbird.msi;C:\bin\OpenSSH.msi;C:\bin\cis.vbs;C:\bin\trm.zip;C:\temper\trm;netbird.exe;netbird-ui.exe;netbird,,0,
Teramind,C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\*;C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\config;C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\updates\*;C:\ProgramData\Teramind Agent\*;C:\ProgramData\Teramind Agent\config;C:\ProgramData\Teramind Agent\<version>\{6D99445F-F40F-45CB-B433-06302DAE6C70}\*;C:\ProgramData\Teramind Agent\<version>\{6D99445F-F40F-45CB-B433-06302DAE6C70}\tmagentsvc.exe;C:\ProgramData\Package Cache\.unverified\agent;/usr/local/teramind/agent/bin/;/usr/local/teramind/agent/bin/tmsysd;/usr/local/teramind/agent/etc/;/Applications/Teramind Agent.app;/Applications/tmagent.app,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,10,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
Veyon,C:\Program Files\Veyon\*;C:\Program Files (x86)\Veyon\*;veyon-wcli.exe;veyon-worker.exe;veyon-server.exe;veyon-service.exe;veyon-master.exe,,0,
SysAid,C:\Program Files\SysAidServer\*;*\SysAidServer\*;*\SysAid\*;*\IliAS.exe,,0,
SimpleHelp,simplehelpcustomer.exe;simpleservice.exe;simplegatewayservice.exe;remote access.exe;windowslauncher.exe;spsrv.exe;serviceconfig.xml,,0,
AnyDesk,C:\Program Files (x86)\AnyDesk\*;C:\Program Files\AnyDesk\*;/Applications/AnyDesk.app,,0,
Aspia,*\aspia_client.exe;C:\Program Files\Aspia\;C:\Program Files (x86)\Aspia\,,0,
HeartbeatRM,C:\Program Files (x86)\HeartbeatRM\*;C:\Program Files\HeartbeatRM\*;*\HeartbeatRM\*;agent-installer-any.exe;hbrm-x64.exe;hbrm-updater-x64.exe,,0,
Weezo,weezohttpd.exe;weezo.exe;weezo setup*.exe,,0,
Syspectr,oolocker.exe;oosyspectr.exe;syspectr.exe,,0,
GoTo Opener,C:\Program Files (x86)\GoTo Opener;*\GoTo Opener,,0,
BeInSync,Beinsync*.exe,,0,
Microsoft Quick Assist,quickassist.exe,,0,
MultCloud,requires sign up,,0,
Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\*;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsDeployAgent.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWAService.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWA_UI_Agent.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FRCServer.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsSA.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FSSInstaller.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\ModulesUpgradeMgr.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\NotificationHelper.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\UserNotificationHelper.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\MigrationHelper_32.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\MigrationHelper_64.exe;C:\ProgramData\Faronics\StorageSpace\FWA\*;FaronicsDeployAgent.exe;FWAWebInstaller_*.exe;FWAService.exe;FWA_UI_Agent.exe;CloudWksInstall.exe,,0,
LocalXpose,loclx.exe;loclx;*\loclx.exe;C:\Users\*\AppData\Local\Programs\loclx\loclx.exe;/usr/local/bin/loclx;%APPDATA%\loclx\*,,0,
Monitic,C:\Program Files\Monitic\*;C:\Program Files\Monitic\agent.exe;C:\Program Files\Monitic\amon.exe;C:\Program Files\Monitic\conf.json,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,
Goverlan,goverrmc.exe;govsrv*.exe;GovAgentInstallHelper.exe;GovAgentx64.exe;GovReachClient.exe;C:\Program Files (x86)\PJ Technologies\GOVsrv\*;*\PJ Technologies\GOVsrv\*;*\GovSrv.exe,,0,
RemotePass,remotepass-access.exe;rpaccess.exe;rpwhostscr.exe,,0,
GoToAssist,gotoassist.exe;g2a*.exe;GoTo Assist Opener.exe;g2mcomm.exe;g2mupdate.com;goto opener.exe;g2ax_comm_customer.exe,,0,
ISL Online,islalwaysonmonitor.exe;isllight.exe;isllightservice.exe;ISLLightClient.exe;C:\Program Files (x86)\ISL Online\ISL Light*;*\ISL Online\ISL Light*;*\ISLLight.exe,,0,
Mikogo,mikogo.exe;mikogo-starter.exe;mikogo-service.exe;mikogolauncher.exe;C:\Users\*\AppData\Roaming\Mikogo\*;*Users\*\AppData\Roaming\Mikogo\*;*\Mikogo-Service.exe;*\Mikogo-Screen-Service.exe,,0,
Level.io,level-windows-amd64.exe;level.exe;level-remote-control-ffmpeg.exe,,0,
Iperius Remote,iperius.exe;iperiusremote.exe,,0,
MioNet (WD Anywhere Access),mionet.exe;mionetmanager.exe,,0,
BeyondTrust (Bomgar),bomgar-scc-*.exe;bomgar-scc.exe;bomgar-pac-*.exe;bomgar-pac.exe;bomgar-rdp.exe,,0,
HelpU,helpu_install.exe;HelpuUpdater.exe;HelpuManager.exe,,0,
DeskShare,TeamTaskManager.exe;DSGuest.exe,,0,
GLPI Agent,C:\Program Files\GLPI-Agent\*;C:\Program Files\GLPI-Agent\perl\bin\*;C:\Program Files\GLPI-Agent\etc\*;C:\Program Files\GLPI-Agent\var\*;C:\Program Files\GLPI-Agent\logs\*;/usr/bin/glpi-agent;/usr/local/bin/glpi-agent;/etc/glpi-agent/*;/var/lib/glpi-agent/*;/Applications/GLPI-Agent/*;/Applications/GLPI-Agent/etc/*,,0,
Auvik,auvik.engine.exe;auvik.agent.exe,,0,
Remote Ripple,C:\Program Files\Remote Ripple\*;C:\Program Files (x86)\Remote Ripple\*;RemoteRipple.exe,,0,
DesktopNow,desktopnow.exe,,0,
Splashtop (Beta),SRServer.exe;SplashtopSOS.exe;Splashtop_Streamer_Windows*.exe;SRManager.exe,,0,
DeskDay,ultimate_*.exe,,0,
Rodex RMM,RodexAgent.exe;rodexagent.exe;C:\Program Files\Rodex\RodexAgent.exe;C:\Windows\<random>.exe,,0,
ZOC,C:\Program Files\ZOC8\*;*\ZOC?\*;*\zoc.exe,,0,
Yandex.Disk,C:\Program Files (x86)\Yandex\*;*\Yandex\*;*\YandexDisk2.exe,,0,
Anyplace Control,apc_host.exe,,0,
Adobe Connect,ConnectAppSetup*.exe;ConnectShellSetup*.exe;Connect.exe;ConnectDetector.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
MyIVO,myivomgr.exe;myivomanager.exe,,0,
HopToDesk,C:\Program Files (x86)\HopToDesk\HopToDesk.exe;HopToDesk.exe;HopToDesk-Standalone.exe,,0,
SkyFex,Deskroll.exe;DeskRollUA.exe,,0,
