rmm_name,sample_indicators,asr_files,count_files,guids
Teramind,C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\*;C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\config;C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\updates\*;C:\ProgramData\Teramind Agent\*;C:\ProgramData\Teramind Agent\config;...(8 more),asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,10,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
Nezha,C:\nezha\*;C:\Program Files\nezha\*;*\nezha-agent.exe;nezha-agent.exe;dashboard-windows-amd64.exe;...(8 more),asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,10,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
SimpleHelp,simplehelpcustomer.exe;simpleservice.exe;simplegatewayservice.exe;remote access.exe;windowslauncher.exe;...(5 more),asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,8,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
Monitic,C:\Program Files\Monitic\*;C:\Program Files\Monitic\agent.exe;C:\Program Files\Monitic\amon.exe;C:\Program Files\Monitic\conf.json,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,
RuDesktop,rd.exe;rudesktop*.exe,asr_lua_20.bin;asr_lua_20.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt,6,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5
RemSupp,C:\Users\*\AppData\Local\remsupp-updater\installer.exe;C:\Users\*\AppData\Local\Programs\RemSupp\RemSupp.exe;C:\Users\*\AppData\Local\Programs\RemSupp\Uninstall RemSupp.exe,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,4,
RemoteView,remoteview.exe;rv.exe;rvagent.exe;rvagtray.exe,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4,
Connectwise Automate (LabTech),ltsvc.exe;ltsvcmon.exe;lttray.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
MSP360,Online Backup.exe;CBBackupPlan.exe;Cloud.Backup.Scheduler.exe;Cloud.Backup.RM.Service.exe;cbb.exe;...(6 more),asr_lua_5.bin;asr_lua_5.bin.txt,2,
Adobe Connect,ConnectAppSetup*.exe;ConnectShellSetup*.exe;Connect.exe;ConnectDetector.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
